city_id,day_index,hour,temp_air_c,hr_pct,solar_wm2,pv_voltage,temp_collector_c,temp_cond_c,delta_hr_sorbent,reservoir_level_pct,soc_battery_pct,dew_point_c,humidity_ratio_gkg,hour_sin,hour_cos,day_sin,day_cos,thermal_lift_c,collector_gain_c,is_daylight,high_humidity_flag,battery_stress_flag,reservoir_high_flag,vcrc_state,sorbent_mode_label,heater_on_label,sorbent_saturated_label
dakar,0,0,18.42,67.72,0.0,0.0,18.26,13.9,2.39,11.125483985020011,70.57707193831536,12.343952721722784,8.929717813350619,0.0,1.0,0.0,1.0,4.520000000000001,-0.16000000000000014,0,0,0,0,1,1,0,0
dakar,0,1,17.25,71.46,0.0,0.0,16.69,13.8,2.72,12.518849992599046,63.88242722641871,12.041523945695328,8.750817754191173,0.25881904510252074,0.9659258262890683,0.0,1.0,3.4499999999999993,-0.5599999999999987,0,1,0,0,1,1,0,0
dakar,0,2,16.33,71.1,0.0,0.0,17.25,12.65,1.31,13.717395179640844,56.68892598609677,11.081749230810535,8.205504494705309,0.49999999999999994,0.8660254037844387,0.0,1.0,3.679999999999998,0.9200000000000017,0,1,0,0,1,1,0,0
dakar,0,3,16.7,73.81,0.0,0.0,16.78,14.22,1.12,14.90552158805398,49.58564236293023,12.003687910507546,8.728459285717427,0.7071067811865476,0.7071067811865476,0.0,1.0,2.4799999999999986,0.08000000000000185,0,1,0,0,1,1,0,0
dakar,0,4,16.96,72.79,0.0,0.0,17.37,13.16,0.11,16.09817042199073,42.937682994203456,12.042813557583116,8.751423284996273,0.8660254037844386,0.5000000000000001,0.0,1.0,3.8000000000000007,0.41000000000000014,0,1,0,0,1,2,1,1
dakar,0,5,16.59,70.4,0.0,0.0,16.87,13.58,1.14,17.47822242775982,32.02707095780556,11.181963405333915,8.261060937346523,0.9659258262890683,0.25881904510252074,0.0,1.0,3.01,0.28000000000000114,0,1,0,0,1,1,0,0
dakar,0,6,18.12,69.81,0.0,0.0,17.47,15.86,0.03,18.81147797224754,25.03657798857705,12.520326196908146,9.035038529914218,1.0,6.123233995736766e-17,0.0,1.0,2.2600000000000016,-0.6500000000000021,0,0,0,0,1,1,0,1
dakar,0,7,19.15,67.63,165.29,8.11,24.87,16.87,0.0,19.964097134588396,18.2160334303347,13.020015402138675,9.340533438490375,0.9659258262890683,-0.25881904510252063,0.0,1.0,2.2799999999999976,5.720000000000002,1,0,1,0,0,0,0,0
dakar,0,8,20.07,61.77,319.32,10.53,30.54,16.79,0.0,19.88523387257362,18.39560650032569,12.50816655679998,9.028771575308529,0.8660254037844387,-0.4999999999999998,0.0,1.0,3.280000000000001,10.469999999999999,1,0,1,0,0,0,0,0
dakar,0,9,21.55,55.88,451.58,12.62,35.42,17.93,0.0,19.656596975138484,20.1943905752994,12.368824223754936,8.946189462190251,0.7071067811865476,-0.7071067811865475,0.0,1.0,3.620000000000001,13.870000000000001,1,0,1,0,1,1,0,1
